排名,note_id,标题,互动量,作者,作者UID,互动速率(次/小时),笔记年龄(小时),互动密度,评论数,标签,速率得分,互动得分,新鲜度得分,互动量得分,历史增长%,数据点数量,发布时间,综合评分
1,6935998c000000001e00fabb,哇～真的好吃耶,32795,雲中大佬,565848304476085ee40b4933,1366.46,24.0,1.0,2250,"小龙剪辑,腌鸡蛋,自制美食,下饭菜",1.0,1.0,0.8333,0.1083,0.0,2,2026-07-24 12:35:25,0.8329
2,69f4771d0000000038037a3f,靠做鸡一个月涨粉30w+,301773,炎之鸡神,646630f8000000001002a493,0.0,0.0,1.0,1776,"一饭封神,鸡神,单一品类研究之神,REDDelicious美食研究生,懒人吃饭糊弄学,自媒体运营,解锁鸡肉的多种吃法,炸鸡,作者",0.0,1.0,1.0,1.0,,1,,0.65
3,6a2d12c100000000350296e7,深圳是全国最好吃的城市,52607,suji,5d0ec71f000000001603f67d,0.0,0.0,1.0,997,"晚餐不重样,家常菜,菜谱,跟着小红书学做菜,家常快手菜,一周吃饭不重样,宝宝食谱,作者",0.0,1.0,1.0,0.174,0.01,2,,0.5261
4,6a5201440000000006032354,有幸在亲戚家吃到一次、惊艳到我了！！,45846,小新爱吃面条🍜,69a821220000000021009abc,0.0,0.0,1.0,363,"不敢想象这一口多好吃,大人小孩都爱吃,简单美食,美食教程,面条的花式做法,晚餐,谁懂这一口的好吃程度啊",0.0,1.0,1.0,0.1516,,1,,0.5227
5,69eb4ba0000000003502757a,授人以渔：旅游时如何寻找local美食,37615,越吃越瘦,63d2394e0000000027034a18,0.0,0.0,1.0,1301,"家常菜,懒人食谱,租房美食,低成本做饭,跟着小红书学做菜,简单食材也可以做出美味,一起学做菜,做菜其实很简单,美食教程",0.0,1.0,1.0,0.1243,-0.0,2,,0.5186
6,6a521f73000000002100b8b8,来海底捞我劝你千万别学我这么吃‼️,32168,Jessico在大湾区,690b5cca0000000032017c15,0.0,0.0,1.0,51,,0.0,1.0,1.0,0.1062,,1,,0.5159
7,6a423ec6000000001603f57c,适合6月份吃的时令菜🥬简单、好做、好吃😋,15300,饼饼仙贝,698da495000000001d01854a,0.0,0.0,1.0,37,"吃了还想再吃,一吃一个不吱声儿,东莞烧鹅,香涎烧鹅,大岭山烧鹅,谁吃谁迷糊,好吃得不得了,好吃的美食果然不一般,吃一口就是人间美味,谁懂啊这个也太好吃了吧,作者",0.0,1.0,1.0,0.0503,0.63,2,,0.5075
8,6a17b7f40000000006036df6,🔥万能炒菜公式，炒菜不翻车！,13392,小陈美食日记,67f38809000000000e01e5ad,0.0,0.0,1.0,14,"学做菜,美食兴趣班之有手就会,在美食兴趣班摇万物,howto搞定0失败美食,教你做道拿手菜,食谱,多种烹饪方式,做菜,烹饪,高能厨艺现场",0.0,1.0,1.0,0.044,0.34,2,,0.5066
9,680a0327000000001d027ab3,这玩意谁发明的啊……真的巨好吃！！,11497,小柚柚美食,61124c41000000000100b96b,0.0,0.0,1.0,222,作者,0.0,1.0,1.0,0.0377,,1,,0.5057
10,6a205a660000000007026720,求推荐！！两只大肥猪马上抵达深圳,9339,Laurusldy,604998410000000001001a83,0.0,0.0,1.0,2544,,0.0,1.0,1.0,0.0305,,1,,0.5046
11,6a50a5a2000000001603d602,近期做饭合集｜12道好吃不重样🍚,7564,蜗蜗家🏠,62bc6433000000001b02a714,0.0,0.0,1.0,119,"时令菜,邪修美食,超级下饭的家常菜,小红书的下饭菜,喜欢吃的在家试着做吧,简单美食,家常美食,美食教程,作者",0.0,1.0,1.0,0.0246,,1,,0.5037
12,6835cc600000000021018940,深圳这个叫啥？？真好吃死了。。。😭😭,5267,很会吃就是了,618c7bb400000000100076a5,0.0,0.0,1.0,690,"深圳,深圳美食,作者",0.0,1.0,1.0,0.017,0.0,2,,0.5026
13,696788ef000000001a032e93,深圳福田美食推荐,5155,跳跳，呀！,5c827f14000000001000239b,0.0,0.0,1.0,333,"深圳美食,深圳漂亮饭,粤圈太子爷,饭搭子请就位,干啥都顺旅行季,好视频扶持计划,我是美食活地图,本地人安利的美食,留子吃饭不糊弄,作者",0.0,1.0,1.0,0.0167,0.06,2,,0.5025
14,6800cb6c000000001c0144fa,深圳最牛逼好吃的17家小店！（附店名合集）,4605,desson,5adac52011be10183457dde2,0.0,0.0,1.0,85,,0.0,1.0,1.0,0.0148,,1,,0.5022
15,69c557a8000000001f003443,感觉是目前深圳top好吃的！！！！,4604,很会吃就是了,618c7bb400000000100076a5,0.0,0.0,1.0,142,"深圳美食,白切鸡,海南鸡饭,烧鹅,作者",0.0,1.0,1.0,0.0148,,1,,0.5022
16,6a5b65fb000000001003efa5,会一直去深圳的。。。（15r！！！）,2029,练练该减肥噜,569882c582ec394601f5a561,0.0,0.0,1.0,121,"我是美食活地图,大声安利本地美食,深圳美食,跟着大学生吃就对了,我是饭灵根,好好周末计划,西丽美食,一个人逛吃,深圳老字号,本地人安利的美食",0.0,1.0,1.0,0.0063,,1,,0.5009
17,6a2adeb300000000210156c1,深圳适合一人食的！！（12家合集,2012,每天都想吃,60ebb22c000000000100b4db,0.0,0.0,1.0,59,作者,0.0,1.0,1.0,0.0062,0.0,2,,0.5009
18,6951f54b0000000022030f5d,感觉是深圳目前top1好吃的。。。。。。,1708,吃蛋不吃蛋黄,5b1559af11be1078433b7aa4,0.0,0.0,1.0,86,"深圳美食,作者",0.0,1.0,1.0,0.0052,0.0,2,,0.5008
19,69809621000000000c037546,深圳真的不缺好吃的小店,1630,肉肉吃不胖,5d39913a0000000012037d60,0.0,0.0,1.0,71,"深圳美食,深圳旅游,深圳探店,本地人才知道的美食,深圳吃喝玩乐,跟着本地人不踩雷,福田区美食,条条小路都好吃,美食合集,本地人安利的美食",0.0,1.0,1.0,0.005,0.0,2,,0.5007
20,6a33b69a000000001c027e7a,深圳个人觉得无法超越的店（附地址,1542,姐姐,59ca080844363b2f182099c8,0.0,0.0,1.0,5,"小红书爆款美食,椒盐鸡翅,做菜我是认真的,超级下饭的家常菜,美食日常,谁懂这一口的好吃程度啊,鸡翅的做法,家常菜,鸡翅,追剧小零食,作者",0.0,1.0,1.0,0.0047,0.13,2,,0.5007
21,6a39212b000000002103f991,感觉是目前深圳top好吃的！！！！,966,小俊Ljj99,5ce7680400000000110105bc,0.0,0.0,1.0,97,"深圳美食,作者",0.0,1.0,1.0,0.0028,0.1,2,,0.5004
22,696233eb000000001a031c1c,前海科兴科学园对面的这个店子夯爆了,824,Minar Kotonoha,62121ac0000000002102a896,0.0,0.0,1.0,51,,0.0,1.0,1.0,0.0023,,1,,0.5003
23,6978f046000000002102abc4,上川地铁附近美食,494,是语非雨,63566a96000000001802ba0f,0.0,0.0,1.0,30,,0.0,1.0,1.0,0.0012,,1,,0.5002
24,69eb535f0000000035039755,（慕名而来）确实是中山民间米其林。。。,373,圆脸小陈,5a805d2a11be10668fb15364,0.0,0.0,1.0,10,,0.0,1.0,1.0,0.0008,,1,,0.5001
25,6a62fdf6000000000e0342dc,为什么你腌的鸡蛋不出油？,129,小龙百科,67e12f8f000000000500f45f,5.38,24.0,1.0,0,"小龙剪辑,腌鸡蛋,自制美食,下饭菜",0.0039,1.0,0.8333,0.0,1.57,2,2026-07-24 12:34:36,0.468
