排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
42,201591643,“穿”衣服挑战！01,8962256,东尼ookii,285499073,0,607533,142521,66466,15632,25366,4777,0.344,0.0945,0.0074,0,0.0017,0.0263,0.4473,0.1649,0.0,0.0942,52488.65,2020-07-28 12:00:07,0.1634
43,115302037717325,国庆出游就带2条丝巾就够了，相当于带了🔟套古装衣服出门#丝巾变古装#国庆出游穿搭,5342083,百变花央本人,3546723995617630,0,309458,11873,66684,12827,929,3616,0.2539,0.0735,0.0125,0,0.0024,0.0194,0.3479,0.2775,0.0,0.1297,7082.88,2025-10-02 09:46:46,0.1622
44,201032947,王祖贤，你TM到底怎么做到时尚超前20年的？,9015952,银桑欧巴呀,433725771,0,305416,44751,139361,15251,5478,5120,0.6028,0.0555,0.0155,0,0.0017,0.0461,0.2627,0.3436,0.0,0.0913,53394.34,2020-06-20 18:18:41,0.1597
45,841277313,不要叫我蹦裙子啦！,6457067,yoyo鹿鸣_Lumi,488836173,1693000,255397,125901,54915,17662,1714,10363,0.708,0.0694,0.0085,3.81,0.0027,0.0542,0.3287,0.1891,0.0027,0.1477,52752.62,2020-07-17 12:02:19,0.154
46,210044753,77岁爷爷穿汉服到故宫,6408714,宸辰and爷爷,555720779,69000,412238,7622,66491,6039,2066,3291,0.1798,0.0767,0.0104,92.88,0.0009,0.0138,0.3633,0.2306,0.0653,0.0509,39712.41,2022-01-11 20:14:34,0.1534
47,799784788,黑人模特的比例有多逆天？,6998482,萌德-,24979808,155000,236949,13849,95618,20684,5537,0,0.462,0.0503,0.0137,45.15,0.003,0.0353,0.2381,0.3037,0.0317,0.1596,46604.86,2021-03-30 15:47:35,0.1518
48,643913473,没有什么衣服是20岁能穿而50岁不能的！,5219463,塑料叉FOKU,130636947,0,280748,59741,32156,14769,21014,3453,0.3273,0.0761,0.0062,0,0.0028,0.025,0.3602,0.137,0.0,0.1528,34962.1,2022-07-28 18:33:04,0.1415
49,116340983733006,请选择你的海岛度假穿搭！,5771545,-小胡同学呀,262240557,0,177743,4719,87384,4285,1715,2473,0.5182,0.0475,0.0151,0,0.0007,0.0396,0.2248,0.3366,0.0,0.0401,2679.09,2026-04-03 21:33:47,0.1414
50,116164034303766,如果我在不同年代做时装模特？你最喜欢哪一组？,7003385,李如儒也是李蠕蠕,474853499,3331000,529577,29537,49384,2877,1620,2888,0.149,0.0875,0.0071,2.1,0.0004,0.0114,0.4144,0.1568,0.0015,0.0222,3425.91,2026-03-03 18:45:00,0.1413
51,115093782202592,外婆说得对：要让他知道你不需要新衣服也能赢全场。,5918103,哈利尼斯塔,3546860255971524,9679000,459307,4973,41579,5509,608,1822,0.1014,0.0859,0.007,0.61,0.0009,0.0078,0.4067,0.1562,0.0004,0.0503,7965.54,2025-08-26 15:06:41,0.1407
