排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
91,115101868821507,「水水」画卷里的人成精了？！,4783241,彼岸的水坑-,18668109,1160453,4.12,604.35,7914.7,0.0446,658,"穿搭,中式,服饰",0.0496,0.6188,0.2112,0.0,0.0233,,1,2025-08-28 18:00:00,0.2142
92,462617062,旗 袍 皮 肤 典 藏 版,5636259,一栗莎子,2871017,1399783,4.03,130.85,43073.3,0.0524,3548,"生活,女神,复古,服饰搭配,美少女,变装,小姐姐,萌妹子,旗袍,时尚穿搭",0.0107,0.6045,0.2481,0.0,0.0696,,1,2021-08-24 19:19:09,0.2109
93,601377608,【古人穿衣・宋】还原1000年前的平民生活,5504129,朵朵花林,297344797,1950000,2.82,157.75,34890.7,0.0829,2817,"历史,传统文化,自制,中国风,人文,知识,服饰,宋朝,古人生活",0.0129,0.4238,0.3925,0.0,0.0624,,1,2022-07-31 18:00:00,0.1946
94,201591643,“穿”衣服挑战！01,8962256,东尼ookii,285499073,5280451,1.7,170.75,52488.7,0.0945,4777,"东尼ok,小潮院长,海皇,搞笑视频,生活,日常,穿衣服挑战,搞笑挑战,搞笑,服饰",0.014,0.2548,0.4474,0.0,0.25,,1,2020-07-28 12:00:07,0.1824
95,875000124,剪个头发还被调戏了～,5694430,山城小栗旬的理发日记,1869712375,3790689,1.5,236.15,24113.7,0.0784,3159,"收藏这个秋天,发型,彩妆,服饰,日常,分享,秋日时尚大改造",0.0194,0.2255,0.3712,0.0,0.0727,,1,2023-10-23 18:57:55,0.1437
96,643913473,没有什么衣服是20岁能穿而50岁不能的！,5219463,塑料叉FOKU,130636947,3101752,1.68,149.29,34962.1,0.0761,3453,"服饰,时尚,生活,改造,裙子,搭配,学生党,小个子,连衣裙,夏日时尚大改造",0.0123,0.2526,0.3603,0.0,0.047,,1,2022-07-28 18:33:04,0.1436
97,115093782202592,外婆说得对：要让他知道你不需要新衣服也能赢全场。,5918103,哈利尼斯塔,3546860255971524,9679000,0.61,742.96,7965.5,0.0859,1822,"服饰,女装,穿搭,入秋时髦客",0.061,0.0918,0.4067,0.0,0.0849,,1,2025-08-26 15:06:41,0.1311
98,113714174890165,《鸣潮》服饰PV | 今汐·桃夭灼灼,4415526,鸣潮,1955897084,5323752,0.83,319.95,13800.7,0.0909,30224,"鸣潮今汐,鸣潮",0.0263,0.1245,0.4304,0.0,0.0034,,1,2024-12-26 12:00:00,0.1254
99,544755544,平替不是抄袭遮羞布! 几千vs几十 真假网红裙PK｜网红裙到底值在哪里? 正山对比,5485771,鹦鹉梨,1968595,3056000,1.8,117.4,46727.7,0.0395,9003,"换季衣橱大作战,服装搭配,潮流,时尚,日常,搭配,服饰,学生党,穿搭分享,时尚穿搭",0.0096,0.2695,0.187,0.0,0.0614,,1,2021-03-25 13:00:03,0.1138
100,719266891,快活王和路易十四谁的衣服比较多？【小约翰】,5523593,小约翰可汗,23947287,10817746,0.51,134.74,40993.7,0.0611,9770,"故事档案馆,社会,英国,时尚,西装,历史,人文,欧洲,服饰,查理二世",0.0111,0.0767,0.2893,0.0,0.0635,,1,2021-11-19 11:00:15,0.0867
