排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,标签,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
70,1406482147,赶快倒闭！现在的女装店铺都是什么畸形审美？真是不要太恶心！,5233893,靓仔董米粒,558215888,606937,47246,10888,49023,701,3578,1802,,1.2681,0.0215,0.0094,8.6235,0.0001,0.0949,0.095,0.197,0.0006,0.0072,17609.38,2024-07-20 19:16:39,0.0971
71,596136940,摆脱春夏内衣“闷热”！与内衣和解，小胸显大不空杯！,22790190,小格子n,457226461,70635,403600,27504,217966,26516,961,1459,,0.6082,0.0286,0.0096,322.6473,0.0012,0.0443,0.1288,0.2014,0.0248,0.0628,37027.49,2022-05-03 17:09:56,0.0967
72,116581887640996,宝，这就是宫里的体面工作1？,5380105,橘橘是钢铁直男,3546906565282006,94364,276787,7668,23311,7895,1643,2320,,0.1119,0.0579,0.0043,57.0144,0.0015,0.0062,0.2688,0.0835,0.0043,0.0792,1658.01,2026-05-16 10:38:51,0.0945
73,740750654,嫁到农村不用可怜我，我过的很快乐。,4513022,是宁心如,2107428051,224949,312528,5561,10383,620,260,1533,,0.051,0.0732,0.0023,20.0624,0.0001,0.0016,0.3415,0.0377,0.0015,0.0074,28168.86,2023-05-07 19:47:59,0.0944
74,215696148,模 特 受 难 鞋,4412153,萌德-,24979808,155000,109360,2252,41020,2772,3644,2531,,0.3957,0.036,0.0093,28.4655,0.0006,0.028,0.1641,0.1954,0.0021,0.0339,35445.74,2022-07-08 14:55:06,0.0935
75,116717514656663,闪购外卖Lolita，让广告来得更猛一些...！,5222602,月亮猹-,421178217,439269,82198,14962,44989,4749,1095,2443,,0.7293,0.0279,0.0086,11.8893,0.0009,0.0536,0.1255,0.18,0.0009,0.0491,1074.66,2026-06-09 18:00:00,0.0911
76,318297884,娶川渝女人，享幸福人生。,6400511,陈景烁Studio,107817408,150000,188658,9086,33836,17375,2284,3693,,0.2275,0.0371,0.0053,42.6701,0.0027,0.0151,0.1695,0.105,0.0032,0.1466,25152.31,2023-09-10 12:20:53,0.0836
77,114046984524429,随机生成穿搭挑战｜ 穿成这样去见男朋友的父母可以吗？,5719346,s大野丽莎,21013374,188812,280316,6059,21822,3773,1370,1830,,0.0995,0.0544,0.0038,30.2912,0.0007,0.0053,0.2522,0.0718,0.0023,0.0356,12402.41,2025-02-22 18:14:54,0.083
78,116000003459986,能让裙子一秒遇光变色？是什么神奇的染料？,5858257,胡米米的随手一做,666685038,628952,51269,1843,48886,88,39,119,,0.9895,0.0174,0.0083,9.3143,0.0,0.0735,0.0756,0.1739,0.0007,0.0008,4099.66,2026-02-03 17:00:00,0.0796
79,116543685924393,当我花3000块买了四套真人芭比套装…,4964035,-小胡同学呀,262240557,404154,66726,1509,43101,279,263,288,,0.6686,0.0225,0.0087,12.2825,0.0001,0.0489,0.0999,0.1816,0.0009,0.003,1820.08,2026-05-09 16:34:45,0.0788
80,400461819,黛玉骑鬼火，玉环醉卡座,5238541,我是扒皮呀,388771073,323530,203878,3069,22692,7699,584,1233,,0.1264,0.0442,0.0043,16.1918,0.0015,0.0073,0.2032,0.0835,0.0012,0.0793,28411.74,2023-04-27 16:55:00,0.0781
81,558642090,明显右边更难做到,7441865,昔特乐ヽ,153987677,21590,133866,3365,41777,17822,864,2322,,0.3372,0.0245,0.0056,344.6904,0.0024,0.0235,0.1092,0.1124,0.0265,0.1293,33380.16,2022-10-02 16:29:46,0.0736
82,499680325,跟着迪丽热巴学穿搭,4728947,鞋Club,9978781,167797,42688,1803,15728,32075,42,39,,0.4107,0.0128,0.0033,28.1825,0.0068,0.0292,0.0533,0.0608,0.0021,0.3663,51205.37,2020-09-19 23:17:16,0.0725
83,619358349,救命！！！Cos符玄大人去漫展 居然遇到这种事？？？,5215237,小小的小兔团儿,27897180,1092511,116770,2720,36317,1202,810,688,,0.3343,0.0302,0.007,4.7736,0.0002,0.0233,0.1363,0.1428,0.0003,0.0124,24528.82,2023-10-06 11:50:14,0.0721
84,115101868821507,「水水」画卷里的人成精了？！,4783241,彼岸的水坑-,18668109,1160453,190575,2649,19216,716,77,658,,0.1147,0.0446,0.004,4.1219,0.0001,0.0065,0.205,0.0764,0.0003,0.0081,7914.66,2025-08-28 18:00:00,0.0696
85,114447808991422,古代身高两米多的将军，八十斤的盔甲如何穿,4353604,武阵天王-杰哥,443344782,718245,184912,1395,13363,1752,1453,5236,,0.0798,0.0474,0.0031,6.0614,0.0004,0.0038,0.2186,0.055,0.0004,0.0217,10703.54,2025-05-04 13:06:58,0.0692
86,115485144253586,这些穿搭都救过男生的命吗？,6122508,乱小世,2146925112,451000,149439,2097,34338,2319,2268,7119,,0.2438,0.0319,0.0056,13.5754,0.0004,0.0164,0.1446,0.1123,0.001,0.0204,6306.73,2025-11-03 17:55:48,0.0665
87,711873334,现在准备卷死他们！情人节送鞋指南，直男看了都会喜欢的鞋子！,8250151,鞋Club,9978781,167797,133071,3221,27391,37595,56,110,,0.23,0.0199,0.0033,49.1675,0.0046,0.0153,0.0872,0.0607,0.0037,0.2461,52045.15,2020-08-15 23:30:05,0.0643
88,236994638,身高175？不！其实你有190！！#190大帅哥 #正装男 #理想男友,5034423,钙星球,496187120,232444,2389,155,5405,42,11,42,,2.3273,0.0016,0.0011,21.6586,0.0,0.1761,0.0,0.01,0.0016,0.0004,23033.4,2023-12-07 19:15:38,0.0639
89,115846139613655,传奇改造王珍妮佛梓，比良子逆天，比阿诺耐药,4779174,侦探许烦烦,32026774,337731,124386,1294,17783,8407,2047,2621,,0.1534,0.031,0.0037,14.1508,0.0018,0.0094,0.1403,0.0697,0.001,0.095,4776.65,2026-01-06 12:00:31,0.0619
90,596958725,30秒拿捏品牌精髓 垫底辣孩的时尚感有多强 |奢侈品,4838712,优奢二手奢侈品,27821777,32148,15509,1014,20033,36,15,47,,1.3571,0.0076,0.0041,150.5136,0.0,0.1017,0.0285,0.0791,0.0115,0.0004,36433.66,2022-05-28 11:00:00,0.0598
91,113242315690979,当你在国外展会吃了一块三文鱼,5496953,一个木枝,472493391,126613,220733,1831,8935,1276,971,2700,,0.0488,0.0428,0.0016,43.4154,0.0002,0.0014,0.1965,0.0225,0.0033,0.0125,15813.09,2024-10-03 15:34:12,0.0557
92,517675878,这个洞洞，是干嘛的,5278844,ADANNU520,416566983,1822,31793,606,8431,12989,1475,3047,,0.2842,0.0086,0.0016,2897.2799,0.0025,0.0195,0.0334,0.0218,0.2227,0.1329,32302.69,2022-11-16 13:58:10,0.0551
93,116458256400991,万万没想到…,5018756,是小帅子呀,397889029,61463,18078,853,19017,40,41,41,,1.0991,0.0076,0.0038,81.6549,0.0,0.082,0.0286,0.0712,0.0062,0.0004,2182.18,2026-04-24 14:28:40,0.0507
94,788457794,娶川渝女人，享先礼后兵。,4377081,陈景烁Studio,107817408,150000,94657,3338,11966,3853,1993,2553,,0.1617,0.0262,0.0027,29.1805,0.0009,0.0101,0.1172,0.0474,0.0022,0.0475,25102.71,2023-09-12 13:57:02,0.0473
95,115400368986036,当你精心穿搭后出门逛街（路人视角）,6308724,是穗穗念呀,3546982486379292,114853,159028,2583,14147,2856,2080,4959,,0.1052,0.029,0.0022,54.9287,0.0005,0.0057,0.1307,0.0364,0.0042,0.0244,6666.05,2025-10-19 18:36:20,0.0448
96,115088849634677,当我家离学校只有2米,5010480,张真严吖,571814627,7217,7644,110,8212,2,2,13,,1.0887,0.0032,0.0016,694.2608,0.0,0.0812,0.0076,0.0228,0.0533,0.0,7986.3,2025-08-25 18:21:38,0.0402
97,115428621882667,当你以为自己是韩剧穿搭出门（路人视角）,4764630,是穗穗念呀,3546982486379292,114853,107696,1603,8623,1537,1026,4702,,0.095,0.026,0.0018,41.4846,0.0003,0.0049,0.1162,0.0266,0.0032,0.0174,6546.35,2025-10-24 18:18:25,0.0382
98,115293246522707,网恋需谨慎 #反差 #迪米迦 #生活伙伴服饰,4513727,抖鹰元歌,488583835,4889,73344,1324,2841,1079,281,1671,,0.0568,0.0176,0.0006,923.2414,0.0002,0.002,0.0764,0.0,0.071,0.0129,7120.15,2025-09-30 20:30:27,0.0282
99,586587684,Zara今年的衣服绝了，这种请问谁能穿！,11238112,周嘎嘎儿,303713614,18126,68637,1723,11226,9245,1910,2217,,0.1887,0.0076,0.001,619.9996,0.0008,0.0121,0.0288,0.0083,0.0476,0.0444,47851.85,2021-02-06 16:48:20,0.0223
100,113379301656070,不是…这雕刻家ooc了吧,6155993,云知笑,251014432,569000,57044,1240,6566,1086,199,679,,0.1368,0.0107,0.0011,10.819,0.0002,0.0082,0.0434,0.0099,0.0008,0.0095,15232.51,2024-10-27 20:08:39,0.0167
