排名,av_id,标题,播放量,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
55,258416208,公子：救救我！新增对全愚人众语音评价！没一个正常的同事吗？,1572981,49518613,162124,9.7,44.52,35334.4,0.0426,2893,0.0114,0.0007,0.2364,0.0,0.0106,,1,2022-07-13 16:43:36,0.0519
56,1751038565,在日本如何区分富人和穷人？,1490536,1350987972,5332,279.55,70.54,21130.0,0.036,831,0.018,0.0195,0.1998,0.0,0.0018,,1,2024-02-25 13:10:00,0.0504
57,114675576478299,政府福利房VS亿万豪宅，揭开亚洲最富国的隐藏真相,1525741,644255470,1695248,0.9,156.51,9748.6,0.0331,964,0.04,0.0001,0.1837,0.0,0.0056,,1,2025-06-13 18:30:42,0.0493
58,683758215,韩国富人区只给“美人”进夜店 女子当场被拒,1700966,15892313,3106996,0.55,46.05,36939.1,0.0388,1167,0.0118,0.0,0.2153,0.0,0.0241,,1,2022-05-07 19:45:00,0.049
59,89283427,男人为什么要努力,3472775,25150941,3523730,0.99,61.56,56416.9,0.0206,2322,0.0157,0.0001,0.1143,0.0,0.2114,,1,2020-02-16 06:01:11,0.0487
60,989967341,韩国顶级富人区江南区什么样？,1812841,4249401,1177692,1.54,58.35,31068.9,0.0355,3094,0.0149,0.0001,0.197,0.0,0.0359,,1,2023-01-07 10:00:00,0.0475
61,113010689442346,当我和闺蜜勇闯富人超市猜价格…,2374773,1509268904,54224,43.8,141.31,16805.1,0.021,659,0.0361,0.0031,0.1165,0.0,0.0953,,1,2024-08-23 17:45:32,0.0444
62,333200943,《花钱师》豆瓣9.0分,1973816,507554171,93165,21.19,43.47,45410.6,0.0315,3974,0.0111,0.0015,0.1748,0.0,0.0529,,1,2021-05-19 20:17:35,0.044
63,114953038076270,服务费专把富人欺？7000饭钱700服务费，顾客：除了上菜没服务！,2285368,647940953,471009,4.85,267.12,8555.6,0.0129,1057,0.0683,0.0003,0.0716,0.0,0.0859,,1,2025-08-02 11:20:00,0.0435
64,942109045,如果你很富有但你却不知道，会发生什么,3131769,482709661,183551,17.06,90.79,34493.6,0.0137,139,0.0232,0.0012,0.076,0.0,0.1754,,1,2022-08-17 17:17:37,0.04
65,290276168,上海富人区天价保姆火了：哪有人能“躺着挣钱”？,2754459,30947486,1216647,2.26,59.92,45968.9,0.0166,3939,0.0153,0.0002,0.0921,0.0,0.1355,,1,2021-04-26 13:56:05,0.0366
66,23511365,直击印度富人区 女孩个个长得似明星！,1484011,284498658,889,1669.3,20.67,71790.7,0.0045,239,0.0053,0.1166,0.025,0.0,0.0012,,1,2018-05-16 16:23:42,0.0358
67,771648700,富人才玩得起的游戏，每颗弹珠都是金子，赢了带走所有，你敢玩吗,2113416,257653626,4729,446.91,60.77,34778.4,0.0148,803,0.0155,0.0312,0.0821,0.0,0.0677,,1,2022-08-05 20:30:00,0.0357
68,56872559,【拳头Vlog】走进北京富人区，一套房子一亿多这里竟然还有…,1508180,27785817,861305,1.75,24.31,62050.6,0.03,2840,0.0062,0.0001,0.1665,0.0,0.0037,,1,2019-06-26 12:32:15,0.0356
69,32044298,《变形计》：她尝试过安逸之后染上公主病，富人游戏，她却当真,2011084,371394153,1732,1161.13,29.25,68764.1,0.0062,3104,0.0075,0.0811,0.0344,0.0,0.0569,,1,2018-09-19 18:46:35,0.0351
70,248640809,小偷模拟器12：第一次偷富人区，这家是真的肥啊,2300430,324565891,1020592,2.25,51.49,44673.2,0.0196,347,0.0132,0.0002,0.1088,0.0,0.0875,,1,2021-06-19 13:39:25,0.0345
71,300823590,原神愚人众11位执行官全体名单出炉,1858618,6915553,19719,94.26,52.53,35384.6,0.0204,2323,0.0134,0.0066,0.1132,0.0,0.0408,,1,2022-07-11 14:20:10,0.0324
72,264663072,如果你不能操控自己的思维，就只能被人操控你的人生！,2299172,1667408435,46769,49.16,73.8,31152.8,0.015,595,0.0189,0.0034,0.0832,0.0,0.0873,,1,2023-01-03 22:07:00,0.0319
73,602399752,如果你很有钱你会做什么,1700550,482709661,183551,9.26,49.69,34222.5,0.0218,173,0.0127,0.0006,0.121,0.0,0.024,,1,2022-08-29 00:25:53,0.0306
74,761266261,小偷模拟器20：这家的防御太严了，没想到是富人区的隐藏大佬,2023072,324565891,1020592,1.98,45.46,44504.4,0.0171,321,0.0116,0.0001,0.0949,0.0,0.0582,,1,2021-06-26 14:26:38,0.0283
75,484848595,对于我们来说食物仅是食物，对于富人来就是面子，是高端人士的身份象征,1490846,1872748055,1198,1244.45,51.74,28813.4,0.0018,11,0.0132,0.0869,0.01,0.0,0.0019,,1,2023-04-11 09:42:34,0.0279
76,763257657,在诡异餐厅打工，富人疯狂争吃的招牌菜，竟是一块腐肉（中集）,1686942,1284235242,925762,1.82,40.04,42133.5,0.019,336,0.0102,0.0001,0.1054,0.0,0.0226,,1,2021-10-03 09:25:04,0.0265
77,862813964,为什么穷人越穷？富人越富？,1663303,3493113414814567,572380,2.91,53.81,30909.8,0.0181,530,0.0138,0.0002,0.1004,0.0,0.0201,,1,2023-01-14 01:07:25,0.0263
78,291253777,小偷模拟器14：开车进富人家偷东西，一晚上偷了一套房,1500661,324565891,1020592,1.47,33.63,44620.0,0.0195,343,0.0086,0.0001,0.1082,0.0,0.0029,,1,2021-06-21 19:09:03,0.0245
