排名,av_id,标题,播放量,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116254429944548,走过路过，不要错过！我们的品质，普普通通，我们的价格，没有极限，欢迎来到——富人直播间！（纯属虚构，如有冒犯，先道歉🙇🏻‍♀️,10930532,1532165,9321262,1.17,3608.76,3028.9,0.1346,20,0.9225,0.0001,0.8227,0.0,1.0,,1,2026-03-20 18:00:00,0.5413
2,116615777620324,一天花掉当地一个月工资！我在破产国家当富豪，混进印度富人圈！,5935949,3546666542041956,467105,12.71,3911.95,1517.4,0.0213,3,1.0,0.0009,0.1302,0.1667,0.4631,,1,2026-05-22 17:30:00,0.3976
3,116606952872706,富人：戒了烟我不习惯⚡️没有你我怎么办😭,2916132,3546696948648553,6064,480.89,1866.7,1562.2,0.0869,3,0.4772,0.0336,0.5312,0.1667,0.1384,,1,2026-05-20 20:42:19,0.2966
4,48078302,看着是贫民窟，上海最有钱的富人区,3550651,242088772,248,14317.14,55.4,64086.1,0.0073,20,0.0142,1.0,0.0446,0.0,0.2066,,1,2019-04-02 16:46:55,0.2838
5,116735768401301,被吹捧的西方教育公平，只存在于富人的世界里,2909201,2066911559,581682,5.0,2869.33,1013.9,0.012,20,0.7335,0.0003,0.0733,0.1667,0.1377,,1,2026-06-12 17:00:00,0.2736
6,116651630597225,博士要是没了，那就是真的没了！,1698859,405845641,678578,2.5,1237.57,1372.7,0.1229,20,0.3164,0.0002,0.7512,0.1667,0.0076,,1,2026-05-28 18:09:02,0.271
7,116640792515913,富人：多托雷！没有你我怎么活啊！？,1978966,57847089,253801,7.8,1394.89,1418.7,0.1029,3,0.3566,0.0005,0.629,0.1667,0.0377,,1,2026-05-26 20:09:42,0.2617
8,116604738275108,戒了烟我不习惯！✋😭🤚,1628437,7086918,30231,53.87,1036.19,1571.6,0.1077,3,0.2649,0.0038,0.6583,0.1667,0.0,,1,2026-05-20 11:19:32,0.2371
9,851292696,全程干货！我们如何才能赚很多很多钱？,3723416,79577853,4221146,0.88,95.18,39121.2,0.1636,3,0.0243,0.0001,1.0,0.0,0.2252,,1,2022-02-05 21:38:22,0.2298
10,115898400641389,一街之隔，贫民窟VS顶级财阀！韩国贫富差距有多大？,8097761,389400079,1025629,7.9,1783.3,4540.9,0.0123,3,0.4559,0.0006,0.0752,0.0,0.6955,,1,2026-01-16 18:00:00,0.2215
