排名,av_id,标题,播放量,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
11,377419485,消失的普通人物：中国电视剧现在只认同富人？,3603819,490494088,1609326,2.24,83.28,43276.1,0.13,3,0.0213,0.0002,0.7946,0.0,0.2124,,1,2021-08-16 18:48:29,0.1866
12,114816907875814,网友都说它是富人的游戏。所有人都在演戏，但这两个少年却亲手把剧本撕碎。,8091468,3546379836197580,214616,37.7,888.5,9106.9,0.0291,3,0.2271,0.0026,0.1779,0.0,0.6948,,1,2025-07-10 12:00:00,0.1738
13,116350949261468,【极乐空间】未来世界，富人上太空享乐，贫民在地球苟活！,3824573,304815404,566239,6.75,1446.03,2644.9,0.0224,20,0.3696,0.0005,0.1369,0.0,0.2361,,1,2026-04-05 18:00:00,0.162
14,848326648,被富养vs穷养长大的女生，后来怎么样了？ | 真富人如何培养孩子｜如何走出自卑迷茫和原生家庭创伤,1850732,16385920,1893865,0.98,43.93,42124.9,0.1255,3,0.0112,0.0001,0.7671,0.0,0.0239,,1,2021-10-03 18:00:03,0.1592
15,710315254,【马云X马化腾】富 人 抬 棺,4065367,25911961,722201,5.63,74.13,54843.9,0.0927,3,0.0189,0.0004,0.5666,0.0,0.262,,1,2020-04-21 19:00:59,0.1453
16,855830826,钟离与富人必有一战？博士“亵渎”前代草神？愚人众冬夜愚戏pv考据鉴赏（原神文化考据19）,2392232,14546601,1057424,2.26,67.66,35357.2,0.0967,3,0.0173,0.0002,0.5911,0.0,0.0821,,1,2022-07-12 17:44:15,0.1317
17,115671572746725,一天五万，伦敦的真实富人生活是怎么样的？,2859772,644255470,1695248,1.69,517.44,5526.8,0.0636,3,0.1323,0.0001,0.3888,0.0,0.1324,,1,2025-12-06 16:08:25,0.1307
18,113797993922951,加州大火肆虐富人区 保险公司全面拒保 囚犯消防集体出动,1668006,346563107,5555090,0.3,123.85,13468.0,0.0873,3,0.0317,0.0,0.5336,0.0,0.0043,,1,2025-01-09 18:55:41,0.1167
19,294309193,富豪真的节俭吗,4500895,1414002128,4092,1099.93,109.74,41014.7,0.0461,3,0.0281,0.0768,0.2818,0.0,0.3088,,1,2021-11-19 00:11:20,0.1149
20,565901416,E220 普通人穷孩子难以理解的秘密，送礼的哲学，交易的核心在于交在先，用金钱，肯定他人的价值。这才是突破圈层的快车道，切忌不要胡乱发奋，瞎努力终是一场空。,2080488,765413,691473,3.01,68.07,30564.1,0.0805,3,0.0174,0.0002,0.4921,0.0,0.0486,,1,2023-01-28 10:48:34,0.1085
21,640385774,在墨西哥富人区街采，这里中上产阶级生活怎样？,1943689,176037767,6120396,0.32,51.63,37643.4,0.0827,20,0.0132,0.0,0.5055,0.0,0.0339,,1,2022-04-08 11:30:00,0.1085
22,113673590870726,30000元体验一天日本富人生活【1w雪景酒店+900元咖啡+怀石料理】,2881573,644255470,1695248,1.7,205.91,13994.5,0.0611,3,0.0526,0.0001,0.3735,0.0,0.1347,,1,2024-12-18 20:20:49,0.104
23,113677265018745,当我穿进富人写的穷鬼世界,1729347,3494377422850175,629476,2.75,123.74,13975.4,0.0718,3,0.0316,0.0002,0.4389,0.0,0.0108,,1,2024-12-19 15:30:00,0.0984
24,406729234,如果有一天你突然有钱了，请记住这十件事，守住财运,2321789,3493280895469733,27930,83.13,94.26,24631.9,0.0669,20,0.0241,0.0058,0.4089,0.0,0.0745,,1,2023-10-02 14:59:03,0.0979
25,769090963,地球最后的净土，居然是一座人类养殖场，专门用来给富人续命！,5852339,688872987,78069,74.96,159.34,36727.6,0.0272,3,0.0407,0.0052,0.1663,0.0,0.4541,,1,2022-05-16 15:15:09,0.0922
26,116220657467578,熊大快跑又更新了！彻底沦为了富人的玩具。,2255047,3493111005186715,27495,82.02,704.83,3199.4,0.0219,3,0.1802,0.0057,0.1339,0.0,0.0674,,1,2026-03-13 15:27:36,0.089
27,116164000747384,在富人区垃圾桶能捡到这么多好东西？,2397459,3690972282096030,21642,110.78,697.16,3438.9,0.0198,3,0.1782,0.0077,0.121,0.0,0.0827,,1,2026-03-03 16:00:19,0.0879
28,1205988620,叫我遇到搬家嘞！重生了，我在富人区捡垃圾-寻宝笔记,5033199,356406755,10265,490.33,273.96,18372.0,0.0155,3,0.07,0.0342,0.0947,0.0,0.366,,1,2024-06-19 10:52:12,0.0851
29,1651583636,18年前赢得“富人游戏”的农村娃，一句清醒发言看哭无数人，如今他怎么样了,5410388,298219655,50232,107.71,259.7,20833.4,0.0183,3,0.0664,0.0075,0.1119,0.0,0.4066,,1,2024-03-08 21:28:00,0.0848
30,115213286382046,就这？在印度富人区生活一天，新德里真能跟北京比？,2623401,3546666542041956,467105,5.62,351.23,7469.2,0.037,3,0.0898,0.0004,0.2262,0.0,0.107,,1,2025-09-16 17:38:23,0.083
31,507766568,"""人生，易如反掌！"" 90后辍学女大生瞒天过海混入富人圈，把纽约上流圈骗得团团转",2821279,568089240,1334664,2.11,70.55,39989.2,0.052,19,0.018,0.0001,0.3178,0.0,0.1282,,1,2021-12-31 17:42:47,0.0818
32,113450755825539,我混进了会费百万的俱乐部里....凭什么高尔夫是富人运动？！,2180901,644255470,1695248,1.29,145.99,14938.9,0.0509,3,0.0373,0.0001,0.3111,0.0,0.0594,,1,2024-11-09 12:00:00,0.0794
33,113906206905126,揭秘日本贫民窟vs顶级富人区住宅！,2094082,644255470,1695248,1.24,161.15,12994.9,0.0481,20,0.0412,0.0001,0.294,0.0,0.0501,,1,2025-01-29 12:00:00,0.0762
34,44896824,走进美国最富社区之一，这里竟然肯德基都没有！,3943509,176037767,6120396,0.64,60.78,64883.9,0.0362,3,0.0155,0.0,0.2213,0.0,0.2489,,1,2019-02-28 11:00:14,0.0738
35,113224179516857,咱是越靠近中央商务区房价越贵，加拿大好嘛你敢卖富人都不敢住,1699888,1289012110,851842,2.0,106.91,15900.2,0.0507,3,0.0273,0.0001,0.3099,0.0,0.0077,,1,2024-09-30 10:43:09,0.071
36,1701727593,又一全网爆火的“富人饭”，正在收割一大批焦虑的中国年轻人,1994350,30947486,1216647,1.64,95.82,20814.4,0.0486,3,0.0245,0.0001,0.2971,0.0,0.0393,,1,2024-03-09 16:30:00,0.0707
37,929565285,真实的富二代和网上的富二代,2454019,493805437,561046,4.37,52.17,47039.0,0.0465,3,0.0133,0.0003,0.2842,0.0,0.0888,,1,2021-03-12 23:51:02,0.0698
38,115213034591325,山西富人平时都在哪吃饭？,1734077,1508190456,384503,4.51,232.13,7470.3,0.0401,3,0.0593,0.0003,0.2451,0.0,0.0114,,1,2025-09-16 16:34:33,0.068
39,114233933041190,一夜之间，有钱人全都得死？富人抢着捐款，只为了保住性命！《财富流感》,2721665,10119428,8028964,0.34,234.22,11620.3,0.0311,19,0.0599,0.0,0.1901,0.0,0.1175,,1,2025-03-27 18:38:14,0.0677
40,115394715191785,假如富人是社会底层,1884849,1612958134,988317,1.91,281.32,6699.9,0.0351,3,0.0719,0.0001,0.2145,0.0,0.0276,,1,2025-10-18 18:57:26,0.0673
41,114974294807766,满级大佬怒闯新手村，55岁富翁从0创业赚100万，他的成功不需要成本？,1757044,80900494,1275012,1.38,209.05,8404.9,0.0353,3,0.0534,0.0001,0.2158,0.0,0.0138,,1,2025-08-08 18:00:00,0.0606
42,631811992,富人举办了一场游戏，吃一口牛排就给1万元，可参加的人都后悔了,2393441,703128101,25655,93.29,54.51,43907.6,0.0375,3,0.0139,0.0065,0.2292,0.0,0.0822,,1,2021-07-21 11:18:07,0.0599
43,1556348753,在亚洲最穷的国家，花1000块钱当富人，被超级白富美请回家做客！,2924472,89428840,286598,10.2,166.9,17522.8,0.024,3,0.0427,0.0007,0.1467,0.0,0.1393,,1,2024-07-24 20:07:41,0.0562
44,115581479100298,英国向富人低头，靠福利吸引全球富人续命。,2041431,438173577,4610134,0.44,345.52,5908.3,0.0202,3,0.0883,0.0,0.1235,0.0,0.0444,,1,2025-11-20 18:32:34,0.0556
45,683758215,韩国富人区只给“美人”进夜店 女子当场被拒,1700966,15892313,3106996,0.55,46.05,36939.1,0.0388,3,0.0118,0.0,0.2372,0.0,0.0078,,1,2022-05-07 19:45:00,0.0518
46,989967341,韩国顶级富人区江南区什么样？,1812841,4249401,1177692,1.54,58.35,31068.9,0.0355,3,0.0149,0.0001,0.217,0.0,0.0198,,1,2023-01-07 10:00:00,0.0499
47,89283427,男人为什么要努力,3472775,25150941,3523730,0.99,61.56,56416.9,0.0206,3,0.0157,0.0001,0.1259,0.0,0.1983,,1,2020-02-16 06:01:11,0.0497
48,333200943,《花钱师》豆瓣9.0分,1973816,507554171,93165,21.19,43.47,45410.6,0.0315,20,0.0111,0.0015,0.1925,0.0,0.0371,,1,2021-05-19 20:17:35,0.0459
49,113010689442346,当我和闺蜜勇闯富人超市猜价格…,2374773,1509268904,54224,43.8,141.31,16805.1,0.021,3,0.0361,0.0031,0.1284,0.0,0.0802,,1,2024-08-23 17:45:32,0.0453
50,114953038076270,服务费专把富人欺？7000饭钱700服务费，顾客：除了上菜没服务！,2285368,647940953,471009,4.85,267.12,8555.6,0.0129,3,0.0683,0.0003,0.0789,0.0,0.0706,,1,2025-08-02 11:20:00,0.0434
51,942109045,如果你很富有但你却不知道，会发生什么,3131769,482709661,183551,17.06,90.79,34493.6,0.0137,3,0.0232,0.0012,0.0837,0.0,0.1616,,1,2022-08-17 17:17:37,0.0402
52,290276168,上海富人区天价保姆火了：哪有人能“躺着挣钱”？,2754459,30947486,1216647,2.26,59.92,45968.9,0.0166,20,0.0153,0.0002,0.1015,0.0,0.1211,,1,2021-04-26 13:56:05,0.037
53,771648700,富人才玩得起的游戏，每颗弹珠都是金子，赢了带走所有，你敢玩吗,2113416,257653626,4729,446.91,60.77,34778.4,0.0148,3,0.0155,0.0312,0.0905,0.0,0.0521,,1,2022-08-05 20:30:00,0.0358
54,248640809,小偷模拟器12：第一次偷富人区，这家是真的肥啊,2300430,324565891,1020592,2.25,51.49,44673.2,0.0196,3,0.0132,0.0002,0.1198,0.0,0.0722,,1,2021-06-19 13:39:25,0.0352
55,32044298,《变形计》：她尝试过安逸之后染上公主病，富人游戏，她却当真,2011084,371394153,1732,1161.13,29.25,68764.1,0.0062,3,0.0075,0.0811,0.0379,0.0,0.0411,,1,2018-09-19 18:46:35,0.0342
56,300823590,原神愚人众11位执行官全体名单出炉,1858618,6915553,19719,94.26,52.53,35384.6,0.0204,3,0.0134,0.0066,0.1247,0.0,0.0247,,1,2022-07-11 14:20:10,0.0331
57,264663072,如果你不能操控自己的思维，就只能被人操控你的人生！,2299172,1667408435,46769,49.16,73.8,31152.8,0.015,3,0.0189,0.0034,0.0917,0.0,0.0721,,1,2023-01-03 22:07:00,0.0321
58,602399752,如果你很有钱你会做什么,1700550,482709661,183551,9.26,49.69,34222.5,0.0218,3,0.0127,0.0006,0.1333,0.0,0.0078,,1,2022-08-29 00:25:53,0.0314
59,761266261,小偷模拟器20：这家的防御太严了，没想到是富人区的隐藏大佬,2023072,324565891,1020592,1.98,45.46,44504.4,0.0171,19,0.0116,0.0001,0.1045,0.0,0.0424,,1,2021-06-26 14:26:38,0.0287
60,763257657,在诡异餐厅打工，富人疯狂争吃的招牌菜，竟是一块腐肉（中集）,1686942,1284235242,925762,1.82,40.04,42133.5,0.019,3,0.0102,0.0001,0.1161,0.0,0.0063,,1,2021-10-03 09:25:04,0.027
61,862813964,为什么穷人越穷？富人越富？,1663303,3493113414814567,572380,2.91,53.81,30909.8,0.0181,3,0.0138,0.0002,0.1106,0.0,0.0037,,1,2023-01-14 01:07:25,0.0267
62,69980789,实拍印度首都富人区购物广场，随处可见高种姓美女，颜值真的高,1923105,350605014,133772,14.38,32.24,59654.4,0.0115,3,0.0082,0.001,0.0703,0.0,0.0317,,1,2019-10-04 08:30:54,0.0199
63,808362799,待满48小时就能得一套房？富人最怕遇到的小偷，法国职业偷房人,2590855,73884967,30550,84.81,65.5,39556.6,0.0024,3,0.0167,0.0059,0.0147,0.0,0.1035,,1,2022-01-18 18:17:38,0.0198
64,335709027,人类历史最有钱的男人：非洲国王曼萨穆萨，坐拥全世界一半黄金！,2386914,1685746281,488288,4.89,56.37,42341.2,0.0055,3,0.0144,0.0003,0.0336,0.0,0.0815,,1,2021-09-24 17:39:54,0.0193
65,22727792,印度富人区女孩的生活，穿着时尚堪比明星，一般人都娶不到,1748858,297968417,3851,454.13,24.22,72197.1,0.0051,3,0.0062,0.0317,0.0312,0.0,0.0129,,1,2018-04-29 17:45:28,0.0173
66,386335364,如果你是全球首富但你却不知道，会发生什么（第九集）,1823872,482709661,183551,9.94,52.05,35039.1,0.0082,3,0.0133,0.0007,0.0501,0.0,0.021,,1,2022-07-25 23:48:58,0.0163
67,1053370388,如何判断自己是富人思维还是穷人思维,1650601,407427280,193028,8.55,83.55,19756.1,0.0077,4,0.0214,0.0006,0.0471,0.0,0.0024,,1,2024-04-22 18:45:00,0.0162
68,757758285,揭秘迪拜王子的奢华生活，全球男性都羡慕的天敌：哈曼丹,1890275,1685746281,488288,3.87,41.1,45986.9,0.0081,20,0.0105,0.0003,0.0495,0.0,0.0281,,1,2021-04-25 19:59:15,0.0159
69,206341438,近期热门韩剧，解密韩国富人提前出狱的套路，难以想象！,2078554,102414403,168938,12.3,46.71,44498.4,0.003,3,0.0119,0.0009,0.0183,0.0,0.0484,,1,2021-06-26 20:30:04,0.0123
70,463207532,印度富人的一顿早餐，竟能吃掉穷人半年工资，简直不要太吓人,1664868,1143314414,8354,199.29,39.35,42311.5,0.0032,3,0.0101,0.0139,0.0196,0.0,0.0039,,1,2021-09-25 23:24:29,0.0108
71,981422420,迷你世界：只能救一个！明星富人朋友和妈妈，我该救哪一个呢？,1736371,1186115121,259873,6.68,47.06,36893.2,0.0033,3,0.012,0.0005,0.0202,0.0,0.0116,,1,2022-05-09 17:43:51,0.0089
