排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,标签,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
18,116969558769868,大学10大谣言,492865,子阳老学长,1368704923,31850,57634,694,19816,1125,244,1182,"大学,谣言,大学生",0.3559,0.1614,0.0402,15.4746,0.0023,0.1707,0.3297,0.5955,0.1273,0.064,29.89,2026-07-23 21:42:58,0.2804
19,116951724594222,大狗嚼  这一口会很疯狂！,9796711,颖杏遗传being,1661480563,128918,718542,45612,246721,44667,1151,9520,"被生活磨平了棱角,大狗叫,毛茸茸的夏天",0.4068,0.1043,0.0252,75.9918,0.0046,0.2027,0.189,0.3545,0.626,0.1313,105.56,2026-07-20 18:02:37,0.2648
20,116974139021109,这是张震岳最被低估的一张专辑丨HOPICO十分专辑,144208,HOPICO,261485584,2607861,10701,2740,3622,752,432,470,"华语音乐,MV,安利向,摇滚,音乐,HOPICO,滚石唱片,张震岳,上B站听电台",0.5945,0.1246,0.0251,0.0553,0.0052,0.3206,0.239,0.3534,0.0002,0.1506,10.11,2026-07-24 17:30:00,0.2577
21,116956204240916,【陶笛】The other side of paradise.抱歉哪位小盆友点的，找不到截图了。。。哈哈哈哈哈,1980727,音乐之声生不息,52143989,26213,339086,30120,36540,3396,879,2784,"陶笛,演奏,The other side of paradise.,独奏",0.1966,0.2067,0.0184,75.5628,0.0017,0.0707,0.4411,0.2464,0.6225,0.0472,86.74,2026-07-21 13:01:40,0.2513
22,116974457724461,2026年的外设还是太抽象了,101769,六分超超,652137183,901102,14085,3106,2476,107,232,141,"键盘,鼠标,迈从,迈从全自研驱动MHUB,迈从V9Turbo,迈从K20GT,迈从Ace75",0.3963,0.1969,0.0243,0.1129,0.0011,0.1961,0.417,0.3408,0.0007,0.0276,8.4,2026-07-24 19:12:02,0.2439
23,116956271285989,【第48版】如果“豆包”死掉你会怎样-【AI全民制作人】,1104026,牛斗niudous,88177556,105755,81788,19539,24491,4176,545,2455,"剧情,短片,机器人,艺术,莫奈,AI剧情大片",0.5383,0.1167,0.0222,10.4395,0.0038,0.2853,0.2196,0.3064,0.0858,0.1083,80.19,2026-07-21 19:25:00,0.2354
24,116975430803423,西班牙赢麻，FIFA赚麻，特朗普乐麻，世界杯谁是输家？,164529,小王Albert,1140672573,5308416,12129,2705,3775,190,845,995,"阿根廷,FIFA,世界杯,西班牙,国际足联,特朗普,因凡蒂诺,上B站！与世界干杯",0.5343,0.1243,0.0229,0.031,0.0012,0.2828,0.2383,0.3186,0.0,0.0307,4.9,2026-07-24 22:35:50,0.2253
25,116961874809056,德国最难建的车站在哪？【神奇组织52】,2408038,小约翰可汗,23947287,10817746,153892,59283,36546,5382,19193,10530,"工程,奇闻,德国,历史,知识,人文,政治,人文历史档案馆,世界史,斯图加特",0.6227,0.116,0.0152,0.2226,0.0022,0.3383,0.218,0.194,0.0016,0.0626,40.61,2026-07-23 11:00:00,0.2181
26,116964374612957,100天亏掉40%？理财大赛S2结果公布！,1388073,-LKs-,125526,4408091,77222,34239,13275,15613,9859,5387,"财经,金融,搞笑,PK,基金,股市,挑战,复盘,投资,谁是理财王",0.6153,0.1008,0.0096,0.3149,0.0112,0.3336,0.1806,0.1039,0.0024,0.3289,39.61,2026-07-23 12:00:00,0.2158
27,116969642657850,老己，借下你的干员,472888,糖幽685,2091987147,10303,36728,3362,9567,1689,594,867,"策略游戏,娱乐,抽卡,二次元,终末地,管理双子星,博士与普瑞赛斯cp,塔防,干员,明日方舟创作者应援计划",0.352,0.1081,0.0202,45.8981,0.0036,0.1683,0.1985,0.275,0.378,0.1021,29.68,2026-07-23 22:05:16,0.2115
28,116968048893675,⚡一战成名⚡我把风扇立在了一支笔上,2799149,自律小爽子,3546841593416381,34835,408770,14642,35290,15460,5234,8236,"生活记录,手工,高能,生活,原创,日常,测评,风扇,记录,创作灵感",0.1222,0.1687,0.0126,80.3545,0.0055,0.0239,0.3476,0.1527,0.662,0.1597,36.32,2026-07-23 15:17:32,0.208
29,116967847501312,连续21天十点睡六点起，我真的会变健康吗？,3771461,亿点点不一样,407054668,6407429,154508,44050,52418,31729,7271,8603,"冷知识,4K,科普,知识,健康,睡眠,失眠,医学,健康新知计划",0.6244,0.0708,0.0139,0.5886,0.0084,0.3393,0.1065,0.1735,0.0046,0.2451,34.49,2026-07-23 17:00:00,0.2051
30,116967998493877,穿越回100年前，看看苏联建筑到底有多超前！？,1285998,-欣小萌-,8366990,5856127,115547,15507,29205,4633,1765,1857,"俄罗斯,旅游,重返未来原子之心联动,莫斯科,原子之心,欣小萌,重返未来1999",0.387,0.1274,0.0227,0.2196,0.0036,0.1902,0.246,0.3148,0.0016,0.103,34.5,2026-07-23 17:00:00,0.2015
31,116962847891171,我婚礼上要放这个,5008237,Vinheteiro,262453663,3293560,521581,54644,97307,45907,6561,8973,"全能音乐挑战赛,婚礼,原创,燃向,婚姻,炸裂,尖叫鸡,婚礼进行曲",0.2913,0.1376,0.0194,1.5206,0.0092,0.1302,0.271,0.2622,0.0123,0.2674,58.49,2026-07-22 17:16:29,0.1937
32,116967092523182,12个电饭锅的正确打开方式～,420271,胡仔一人食,17495873,2726480,25480,767,10445,1018,209,252,风味美食图鉴,0.44,0.0884,0.0249,0.1541,0.0024,0.2236,0.15,0.3492,0.0011,0.0681,17.61,2026-07-24 10:00:00,0.1925
33,116918673544420,跟着中国第一个旅游博主徐霞客的足迹去旅行，看看400年后变成了什么样！,3720125,Linksphotograph,3816626,4707710,198660,62228,48482,20321,11162,3803,"黄山,旅行,摄影,航拍,安徽文旅,黄山文旅,OPPO Find X9 Ultra,三清山,徽州,徐霞客",0.5573,0.0872,0.013,0.7902,0.0055,0.2972,0.147,0.1596,0.0063,0.1579,159.61,2026-07-18 12:00:00,0.1891
34,116962696956059,嘎子哥抽象电影诠释何为硬汉の顶点！心脏被打爆都不死？！笑拉哈哈哈哈,288336,文西与阿漆,94281836,4174190,30640,8134,3595,590,2589,1064,"搞笑,电影解说,海洋至尊,嘎子,爆笑解说,谢孟伟,抽象,文西,男士洁面,十级学者影视详解",0.3828,0.1596,0.0125,0.0691,0.002,0.1876,0.3252,0.1505,0.0004,0.057,10.68,2026-07-24 17:05:00,0.1828
35,116972964611820,大家猜猜我是谁,1485930,田一名sir,477676711,2483276,121100,2287,11387,50465,5640,16076,"可爱,小剧场,音乐小剧场",0.1129,0.1053,0.0077,0.5984,0.034,0.0181,0.1916,0.0734,0.0047,1.0,15.45,2026-07-24 12:09:36,0.1694
36,116951892430901,请问哪一处会扣分？,1553704,阿汤哥1989,3546390846245099,55228,152767,7079,21007,14421,2525,7008,"生活记录,狗狗,汪星人,动作,可爱,马犬,狗子",0.1838,0.1225,0.0135,28.1325,0.0093,0.0627,0.234,0.1674,0.2316,0.2708,104.54,2026-07-20 19:04:05,0.1642
37,116974138952610,和养蜈蚣的苗族coser同居是什么样的体验？,154773,林带鱼w,39807720,859408,18705,1287,2801,61,32,155,"生活记录,vlog,cos,淘宝闪购,淘宝闪购夏日拼团季,淘宝闪购联动超自然行动组,苗族,Cosplay",0.2186,0.1485,0.0181,0.1801,0.0004,0.0845,0.2978,0.2408,0.0013,0.0082,8.55,2026-07-24 19:13:00,0.1531
38,116974508118143,陈翔六点半：有人在这里被爱过，有人在这里学会了爱,268637,陈翔六点半,19286458,3656925,20736,5149,2812,816,636,1113,"短片,陈翔六点半,剧情,B站短片创作新浪潮",0.3839,0.1133,0.0105,0.0735,0.003,0.1883,0.2113,0.1184,0.0004,0.0863,8.81,2026-07-24 18:41:12,0.1511
39,116969995044465,乌克兰大变天了,1146426,燕三嘤嘤嘤,430426421,4416230,79275,16889,13840,1110,9000,5357,"趣味,知识,科普,历史,趣闻,人物,俄罗斯,搞笑,美国,乌克兰",0.3876,0.1085,0.0121,0.2596,0.001,0.1907,0.1994,0.1442,0.0019,0.0251,15.77,2026-07-24 11:50:00,0.1481
40,116957982498221,人浪的传播速度是多少？,2346624,无关茉莉星,3690991668168798,28506,52062,5158,13408,1334,845,1013,"科普,螺旋波,可激发介质,人浪,奇怪问题,万物研究所",0.3566,0.0309,0.0057,82.3204,0.0006,0.1712,0.0084,0.0422,0.6782,0.0133,58.52,2026-07-22 17:15:00,0.1396
41,116969558837591,玩剑魔打蒙多能忍住不笑的，你是这个👍,1044761,三桥qzg,358607628,777647,87074,29977,3689,3082,3400,4789,"上单,英雄联盟,剑魔,MOBA,蒙多,2026LPL第三赛段",0.3866,0.1234,0.0035,1.3435,0.0029,0.19,0.2361,0.0071,0.0109,0.0837,29.85,2026-07-23 21:45:30,0.1364
42,116951489710626,🐔好 坤 不 挑 曲⚡,3013345,浪迹天涯的小光,140415743,156979,190308,24647,27984,16088,803,4642,"鬼畜,蔡徐坤,宗主,小黑子,鸡你太美,鬼畜星探企划",0.2766,0.0824,0.0093,19.1958,0.0053,0.1209,0.1353,0.0995,0.158,0.1543,106.54,2026-07-20 17:04:11,0.1273
43,116957160413054,美国看世界杯总决赛，解锁人生新体验！,1014079,蓝战非OvO,10804055,1860493,84021,9660,8773,4840,8761,2940,"纽约,旅行,美国,世界杯,蓝战非,上B站！与世界干杯",0.2194,0.1126,0.0087,0.5451,0.0048,0.085,0.2095,0.0893,0.0043,0.1376,39.77,2026-07-23 12:00:00,0.1142
44,116974323632280,监考小风波,465562,脱缰凯Kk,373388923,6348443,51626,2412,5383,453,2794,2068,"短片,原创,学生作品,校园,搞笑研究所",0.151,0.1381,0.0116,0.0733,0.001,0.042,0.2722,0.136,0.0004,0.0253,9.5,2026-07-24 18:00:03,0.1125
45,116961522551203,🐔回 归 鸡 本 功⚡,2188241,浪迹天涯的小光,140415743,156979,103775,14666,16006,11379,620,3155,"鬼畜,蔡徐坤,宗主,小黑子,第二招,鸡你太美,鬼畜星探企划",0.2956,0.0632,0.0073,13.9397,0.0052,0.1328,0.0879,0.0678,0.1147,0.1502,63.88,2026-07-22 11:37:00,0.1085
46,116974541608126,旭旭宝宝争议事件：掉粉近80万，他错在哪一步？,276449,唯一讲述者,278761367,1929397,12892,1242,2592,638,4231,1874,"游戏,日常,社会,DNF,生活,主播,斗鱼,热点,旭旭宝宝,请回答这个时代",0.2974,0.0826,0.0094,0.1433,0.0023,0.134,0.1357,0.1009,0.001,0.0647,8.76,2026-07-24 18:50:55,0.1076
47,116974793265608,从24℃到46℃，零跑A10被高温打回原形吗？,358845,所长Wy,497525820,1845980,10033,3187,1825,42,209,221,"高温夏测,热极,零跑A10,SUV,新能源车,汽车评测,吐鲁番,阿勒泰,零跑汽车,阿B车友俱乐部",0.4996,0.0431,0.0051,0.1944,0.0001,0.261,0.0385,0.0321,0.0014,0.0,7.02,2026-07-24 20:35:15,0.1075
