排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
23,116961874809056,德国最难建的车站在哪？【神奇组织52】,2408038,小约翰可汗,23947287,10817746,0.22,59301.54,40.6,0.116,10530,"工程,奇闻,德国,历史,知识,人文,政治,人文历史档案馆,世界史,斯图加特",0.4816,0.0201,0.2674,0.75,0.2397,,1,2026-07-23 11:00:00,0.3395
24,116974323632280,监考小风波,465562,脱缰凯Kk,373388923,6348443,0.07,49032.33,9.5,0.1381,2068,"短片,原创,学生作品,校园,搞笑研究所",0.3982,0.0066,0.3183,1.0,0.0398,,1,2026-07-24 18:00:03,0.3388
25,116967042324360,刚买的李子丢进水里，直接长出了一层透明壳？？,2459933,毕的二阶导,489763089,2401750,1.02,60618.93,40.6,0.0521,1710,"物理,光学,李子,科普,全反射,水果,折射,疏水,透明壳,万物研究所",0.4923,0.0926,0.1201,0.75,0.245,,1,2026-07-23 11:01:29,0.3319
26,116968854128961,陪莉莉一起吃饭吧～,1277140,小奶酪酪子,118460438,498147,2.56,38927.31,32.8,0.1027,1287,"吃播,巴啦啦小魔仙,cos,麻辣拌,炸鸡,严莉莉",0.3161,0.2318,0.2367,0.75,0.1233,,1,2026-07-23 18:41:04,0.325
27,116963116652282,今天花2万包5000斤的鱼塘，塘主的举动让人暖心,2614367,李维刚的日常,3493260093819171,4196040,0.62,45730.81,57.2,0.1139,4545,"正能量,李维刚,顺德,鱼塘",0.3714,0.0563,0.2626,0.75,0.2609,,1,2026-07-22 18:26:11,0.3166
28,116974860374045,直哉挑衅佐助  十尾空降涩谷,163897,牙牙的包裹,3493279194679455,1297991,0.13,22406.46,7.3,0.234,1730,"火影忍者,二次元,动漫,鸣人,佐助,咒术回战",0.182,0.0114,0.5394,1.0,0.0087,,1,2026-07-24 20:10:44,0.3162
29,116968652867214,《败犬共鸣者太多了！》,494556,汐汐不想睡大街,30898527,801413,0.62,14689.54,33.7,0.3209,1790,"搞笑,动画短片,手书,今汐,鸣潮创作激励计划,珂莱塔,爱弥斯,秧秧·玄翎",0.1193,0.0558,0.7397,0.75,0.0428,,1,2026-07-23 17:56:20,0.3145
30,116962411680078,晚上在店里加班处理金枪鱼，顺便切点边角料偷偷做个晚餐吃,382925,张森的下班料理,472229397,1692447,0.23,36686.45,10.4,0.1278,1187,"深夜美食,蓝鳍金枪鱼,风味美食图鉴",0.2979,0.0205,0.2946,1.0,0.0313,,1,2026-07-24 17:10:00,0.3065
31,116974793265608,从24℃到46℃，零跑A10被高温打回原形吗？,358845,所长Wy,497525820,1845980,0.19,51129.66,7.0,0.0431,221,"高温夏测,热极,零跑A10,SUV,新能源车,汽车评测,吐鲁番,阿勒泰,零跑汽车,阿B车友俱乐部",0.4152,0.0176,0.0994,1.0,0.0288,,1,2026-07-24 20:35:15,0.3017
32,116969558837591,玩剑魔打蒙多能忍住不笑的，你是这个👍,1044761,三桥qzg,358607628,777647,1.34,35002.32,29.9,0.1234,4789,"上单,英雄联盟,剑魔,MOBA,蒙多,2026LPL第三赛段",0.2843,0.1215,0.2845,0.75,0.0994,,1,2026-07-23 21:45:30,0.295
33,116975430803423,西班牙赢麻，FIFA赚麻，特朗普乐麻，世界杯谁是输家？,164529,小王Albert,1140672573,5308416,0.03,33592.58,4.9,0.1243,995,"阿根廷,FIFA,世界杯,西班牙,国际足联,特朗普,因凡蒂诺,上B站！与世界干杯",0.2728,0.0028,0.2865,1.0,0.0088,,1,2026-07-24 22:35:50,0.2907
34,116974508118143,陈翔六点半：有人在这里被爱过，有人在这里学会了爱,268637,陈翔六点半,19286458,3656925,0.07,30494.2,8.8,0.1133,1113,"短片,陈翔六点半,剧情,B站短片创作新浪潮",0.2476,0.0066,0.2612,1.0,0.0195,,1,2026-07-24 18:41:12,0.2801
35,116967998493877,穿越回100年前，看看苏联建筑到底有多超前！？,1285998,-欣小萌-,8366990,5856127,0.22,37280.71,34.5,0.1274,1857,"俄罗斯,旅游,重返未来原子之心联动,莫斯科,原子之心,欣小萌,重返未来1999",0.3028,0.0199,0.2937,0.75,0.1242,,1,2026-07-23 17:00:00,0.2795
36,116974457724461,2026年的外设还是太抽象了,101769,六分超超,652137183,901102,0.11,12108.95,8.4,0.1969,141,"键盘,鼠标,迈从,迈从全自研驱动MHUB,迈从V9Turbo,迈从K20GT,迈从Ace75",0.0983,0.0102,0.4539,1.0,0.0023,,1,2026-07-24 19:12:02,0.2731
37,116974105401020,被3000名网友操控的青海之行，第一顿就吓哭了...,212371,盗月社食遇记,99157282,8413366,0.03,22179.1,9.6,0.1437,698,"烧烤,生活记录,高能,记录我的美食日常,沐上树梢,盗月社超级特派员,网友,西宁美食,青海旅行,青海美食",0.1801,0.0023,0.3313,1.0,0.0137,,1,2026-07-24 17:55:00,0.2722
38,116974541608126,旭旭宝宝争议事件：掉粉近80万，他错在哪一步？,276449,唯一讲述者,278761367,1929397,0.14,31573.12,8.8,0.0826,1874,"游戏,日常,社会,DNF,生活,主播,斗鱼,热点,旭旭宝宝,请回答这个时代",0.2564,0.013,0.1904,1.0,0.0203,,1,2026-07-24 18:50:55,0.2703
39,116967042256903,aespa《KISS N TELL》MV,530370,SMTOWN,3493085782739496,940718,0.56,18539.72,28.6,0.2061,4405,"aespa,KISS N TELL,æspa",0.1506,0.051,0.4751,0.75,0.0464,,1,2026-07-23 23:00:00,0.2701
40,116964374612957,100天亏掉40%？理财大赛S2结果公布！,1388073,-LKs-,125526,4408091,0.31,35047.92,39.6,0.1008,5387,"财经,金融,搞笑,PK,基金,股市,挑战,复盘,投资,谁是理财王",0.2846,0.0285,0.2324,0.75,0.1347,,1,2026-07-23 12:00:00,0.265
41,116968602607303,见蛇不打三分罪？让我们来看看舟山眼镜蛇怎么说,930630,ZGL蛇语者,1409380252,646424,1.44,28075.66,33.1,0.0915,1410,"蛇,剧毒蛇,户外找蛇,ZGL蛇语者,眼镜蛇,毒蛇,王锦蛇,舟山眼镜蛇,蛇类科普,蛇类行为学",0.228,0.1302,0.2109,0.75,0.0876,,1,2026-07-23 18:20:50,0.2644
42,116967092523182,12个电饭锅的正确打开方式～,420271,胡仔一人食,17495873,2726480,0.15,23869.99,17.6,0.0884,252,风味美食图鉴,0.1939,0.0139,0.2038,1.0,0.0351,,1,2026-07-24 10:00:00,0.2559
43,116974122174388,“弦起敦煌，壁画再世！”【鸿音】,143961,紫颜-小仙紫,35579222,1872103,0.08,13745.48,10.5,0.1395,315,"中国舞,中国风,4K,敦煌,古典舞,鸿音,紫颜,长视频舞蹈匠心计划",0.1116,0.007,0.3216,1.0,0.0067,,1,2026-07-24 17:07:59,0.2502
44,116972947775120,【巫师】一字断魂刀，绞杀国家队，中国第一游资徐翔的资本博弈,148639,巫师财经,472747194,4307876,0.03,15472.48,9.6,0.1243,668,财经,0.1257,0.0031,0.2865,1.0,0.0072,,1,2026-07-24 18:00:00,0.2465
45,116974139021109,这是张震岳最被低估的一张专辑丨HOPICO十分专辑,144208,HOPICO,261485584,2607861,0.06,14270.17,10.1,0.1246,470,"华语音乐,MV,安利向,摇滚,音乐,HOPICO,滚石唱片,张震岳,上B站听电台",0.1159,0.005,0.2872,1.0,0.0067,,1,2026-07-24 17:30:00,0.2441
46,116964156511429,成吉思鸡套餐！鸡佬的成吉思鸡套餐，吃了有力气,961643,干饭三健客,8680974,2286445,0.42,27876.4,34.5,0.0704,1133,"印度美食,街头美食,我在B站做美食,印度老吃家,三剑客,健身餐",0.2264,0.038,0.1623,0.75,0.0908,,1,2026-07-23 17:00:00,0.2315
47,116918673544420,跟着中国第一个旅游博主徐霞客的足迹去旅行，看看400年后变成了什么样！,3720125,Linksphotograph,3816626,4707710,0.79,23308.24,159.6,0.0872,3803,"黄山,旅行,摄影,航拍,安徽文旅,黄山文旅,OPPO Find X9 Ultra,三清山,徽州,徐霞客",0.1893,0.0715,0.201,0.5,0.3747,,1,2026-07-18 12:00:00,0.2273
48,116968468318425,上课打游戏 期末考段位？电竞专业真有这么爽吗？,811514,落九川,470962000,2735935,0.3,24148.41,33.6,0.0275,1109,"落九川,探访,电竞专业,四川电影电视学院,电竞本科,川影",0.1961,0.0268,0.0634,0.75,0.0754,,1,2026-07-23 18:00:00,0.1983
49,116957865057680,连唱了十首最吊奥特曼主题曲！！每首都夯爆了,628974,野生小叔,23957550,422485,1.49,7912.06,79.5,0.0644,1029,"日语翻唱,奥特曼,翻唱,咿呀！！！",0.0643,0.1346,0.1485,0.5,0.0566,,1,2026-07-21 20:06:38,0.1633
