排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116971253274492,《下一个是谁》第七季（2）,1524623,自来卷三木,474702359,3086012,0.49,98401.57,15.5,0.4338,13081,"综艺,游戏,竞技,生活,搞笑,UP主自制综艺,up主综艺,下一个是谁,挑战,影视飓风",0.7991,0.9455,1.0,1.0,0.1787,,1,2026-07-24 12:00:00,0.844
2,116968250150984,指鸡为牛、移花接木：营销号看图说话有多离谱？,3837816,中国食品报融媒体,439478093,4467285,0.86,118403.4,32.4,0.0581,2781,"科普,鉴定网络热门视频,辟谣,食品安全,香肠",0.9616,1.0,0.1339,0.75,0.4646,,1,2026-07-23 19:05:00,0.7242
3,116967847501312,连续21天十点睡六点起，我真的会变健康吗？,3771461,亿点点不一样,407054668,6407429,0.59,109335.32,34.5,0.0708,8603,"冷知识,4K,科普,知识,健康,睡眠,失眠,医学,健康新知计划",0.8879,1.0,0.1632,0.75,0.4564,,1,2026-07-23 17:00:00,0.7072
4,116972763356532,《绝区零》蕾米埃尔角色展示 | 恰如往昔,1907676,绝区零,1636034895,7926505,0.24,123135.45,15.5,0.1388,11968,"手游,PC,ARPG,绝区零挽昼,绝区零3.1,绝区零蕾米埃尔,漫长的告别,米哈游,绝区零",1.0,0.4606,0.32,1.0,0.226,,1,2026-07-24 12:00:00,0.6517
5,116951137388659,树恨你,8169933,鲤鱼Ace,15634833,30370000,0.27,75724.85,107.9,0.3123,145224,"搞笑,魔性,trees hate you,树恨你,树讨厌你,鲤鱼,鲤鱼Ace",0.615,0.5148,0.7199,0.5,1.0,,1,2026-07-20 15:36:08,0.6322
6,116963971958456,成吉思鸡200卢比买一送一，我只要送的那份,3281353,印度老吃家,1582757648,599329,5.48,61384.7,53.5,0.0844,2867,"街头小吃,印度,印度美食,美食制作,街头美食,舌尖真探事务所,印度老吃家,成吉思鸡,阿穆尔奶油,探店",0.4985,1.0,0.1946,0.75,0.3958,,1,2026-07-22 22:02:13,0.5905
7,116968199882273,年度大活！！峰哥cos沙僧，良子cos猪八戒！！！,1639489,卡秃噜皮君,433004026,329226,4.98,46078.95,35.6,0.0721,2845,"生活记录,高能,生活,峰哥直播,峰哥,峰哥亡命天涯,随手记录我的生活碎片",0.3742,1.0,0.1662,0.75,0.1929,,1,2026-07-23 15:54:48,0.5273
8,116963502197593,老同学婚礼让我穿最贵的来？,1766178,三个大比兜啊,496116540,112755,15.66,43614.12,40.5,0.0775,2634,"婚礼,齐天大圣,cos,黑神话悟空,婚礼现场,同学,灵魂COS大赏",0.3542,1.0,0.1787,0.75,0.2085,,1,2026-07-23 11:00:00,0.5253
9,116968854128961,陪莉莉一起吃饭吧～,1277140,小奶酪酪子,118460438,498147,2.56,38927.31,32.8,0.1027,1287,"吃播,巴啦啦小魔仙,cos,麻辣拌,炸鸡,严莉莉",0.3161,1.0,0.2367,0.75,0.1481,,1,2026-07-23 18:41:04,0.5195
10,116961522551203,🐔回 归 鸡 本 功⚡,2188241,浪迹天涯的小光,140415743,156979,13.94,34256.98,63.9,0.0632,3155,"鬼畜,蔡徐坤,宗主,小黑子,第二招,鸡你太美,鬼畜星探企划",0.2782,1.0,0.1457,0.75,0.2607,,1,2026-07-22 11:37:00,0.5012
11,116974071908168,接着奏乐接着舞！Papi酱《生气了》KPOP版,79023,吉事堡,1447736,9084,8.7,10543.04,7.5,0.1342,510,"女团,韩国女团,音乐,生气了,回归预告,papi酱,K-Pop,AI音乐,AI翻唱,AI音乐征集大赛",0.0856,1.0,0.3094,1.0,0.0,,1,2026-07-24 20:00:00,0.4876
12,116968602607303,见蛇不打三分罪？让我们来看看舟山眼镜蛇怎么说,930630,ZGL蛇语者,1409380252,646424,1.44,28075.66,33.1,0.0915,1410,"蛇,剧毒蛇,户外找蛇,ZGL蛇语者,眼镜蛇,毒蛇,王锦蛇,舟山眼镜蛇,蛇类科普,蛇类行为学",0.228,1.0,0.2109,0.75,0.1053,,1,2026-07-23 18:20:50,0.4836
13,116964156511429,成吉思鸡套餐！鸡佬的成吉思鸡套餐，吃了有力气,961643,干饭三健客,8680974,2286445,0.42,27876.4,34.5,0.0704,1133,"印度美食,街头美食,我在B站做美食,印度老吃家,三剑客,健身餐",0.2264,0.8049,0.1623,0.75,0.1091,,1,2026-07-23 17:00:00,0.425
14,116952160863790,极寒末日96分钟无删减合集,1452195,华萧AIGC,3706997046249908,12118,119.84,14024.17,103.5,0.091,2645,"末日生存,末日,极寒末日,末日安全屋,末世,合集,一口气看完",0.1139,1.0,0.2098,0.5,0.1697,,1,2026-07-20 19:56:37,0.4181
15,116967998493877,穿越回100年前，看看苏联建筑到底有多超前！？,1285998,-欣小萌-,8366990,5856127,0.22,37280.71,34.5,0.1274,1857,"俄罗斯,旅游,重返未来原子之心联动,莫斯科,原子之心,欣小萌,重返未来1999",0.3028,0.4202,0.2937,0.75,0.1492,,1,2026-07-23 17:00:00,0.382
16,116974860374045,直哉挑衅佐助  十尾空降涩谷,163897,牙牙的包裹,3493279194679455,1297991,0.13,22406.46,7.3,0.234,1730,"火影忍者,二次元,动漫,鸣人,佐助,咒术回战",0.182,0.2416,0.5394,1.0,0.0105,,1,2026-07-24 20:10:44,0.3739
17,116974323632280,监考小风波,465562,脱缰凯Kk,373388923,6348443,0.07,49032.33,9.5,0.1381,2068,"短片,原创,学生作品,校园,搞笑研究所",0.3982,0.1403,0.3183,1.0,0.0478,,1,2026-07-24 18:00:03,0.373
18,116974508118143,陈翔六点半：有人在这里被爱过，有人在这里学会了爱,268637,陈翔六点半,19286458,3656925,0.07,30494.2,8.8,0.1133,1113,"短片,陈翔六点半,剧情,B站短片创作新浪潮",0.2476,0.1406,0.2612,1.0,0.0234,,1,2026-07-24 18:41:12,0.314
19,116975430803423,西班牙赢麻，FIFA赚麻，特朗普乐麻，世界杯谁是输家？,164529,小王Albert,1140672573,5308416,0.03,33592.58,4.9,0.1243,995,"阿根廷,FIFA,世界杯,西班牙,国际足联,特朗普,因凡蒂诺,上B站！与世界干杯",0.2728,0.0593,0.2865,1.0,0.0106,,1,2026-07-24 22:35:50,0.305
20,116974105401020,被3000名网友操控的青海之行，第一顿就吓哭了...,212371,盗月社食遇记,99157282,8413366,0.03,22179.1,9.6,0.1437,698,"烧烤,生活记录,高能,记录我的美食日常,沐上树梢,盗月社超级特派员,网友,西宁美食,青海旅行,青海美食",0.1801,0.0483,0.3313,1.0,0.0165,,1,2026-07-24 17:55:00,0.284
