排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
48,342836503,皮肤科来了个“老顽童”,5765030,i_纪录,103287116,427844,13.47,162.26,35528.8,0.0269,701,0.0344,1.0,0.1647,0.0,0.0599,,1,2022-07-05 17:42:55,0.2993
49,113283956736549,【深圳南滨竞技】刚开始下场不懂规则一定要看喔～深圳真人cs wargame俱乐部,5042112,深圳南滨竞技俱乐部,497666949,4818,1046.52,322.17,15650.5,0.0183,400,0.0684,1.0,0.1121,0.0,0.0407,,1,2024-10-11 00:01:48,0.297
50,945217008,什么？！出门吃个饭居然还要签生死状了？！结局我yue了….,10228214,不吃柠檬_morning,508575916,17443,586.38,317.72,32192.5,0.0061,743,0.0674,1.0,0.0374,0.0,0.1788,,1,2022-11-21 18:00:00,0.2956
51,681961274,美食博主踢馆被4个大厨认出，竟然当场被呛？！,7169269,踢馆小馋,631172681,515444,13.91,186.19,38505.0,0.0157,352,0.0395,1.0,0.0961,0.0,0.0973,,1,2022-03-03 17:30:07,0.2908
52,791324271,当AI充满生活,3605784,麦阿臻,295079224,33877,106.44,154.32,23366.2,0.0241,726,0.0327,1.0,0.1476,0.0,0.0024,,1,2023-11-24 12:22:04,0.2896
53,933670449,一张头像价值千万，能抵深圳一套房，NFT是数字艺术还是金融泡沫？,5280450,42号星球,699633869,405533,13.02,126.58,41717.7,0.0215,1462,0.0269,1.0,0.1317,0.0,0.047,,1,2021-10-20 20:48:42,0.2891
54,405446757,亚洲最大网红店倒闭1年还转租不出去，位于深圳超级CBD海岸城的昂司蛋糕经历疫情后撑不住了，未来的消费势必注重性价比、小而美,5305055,千剑pro,98676136,39308,134.96,208.54,25439.5,0.0158,3144,0.0442,1.0,0.0968,0.0,0.0477,,1,2023-08-30 03:02:00,0.2874
55,675193437,深圳城中村杀蟑螂，场面太恐怖了,4207899,华南羊仔,507340117,455,9248.13,98.06,42912.8,0.0206,12347,0.0208,1.0,0.1261,0.0,0.0184,,1,2021-09-01 01:40:40,0.2833
56,55121049,深圳市民十分热爱体育,3738049,沙雕宗师,386492296,391,9560.23,59.86,62447.9,0.0229,2108,0.0127,1.0,0.1402,0.0,0.0059,,1,2019-06-10 02:34:39,0.2824
57,792042533,在上班和上香之间，果断选择上船！ #招商蛇口在深圳  #招商蛇口深圳区域甲板生活节,6702677,奶龙小七,230481071,450626,14.87,291.62,22984.5,0.0014,50,0.0619,1.0,0.0086,0.0,0.0849,,1,2023-12-10 10:00:00,0.2788
58,461717518,深圳有多热？一老鼠奔跑在柏油马路，没几步突然中暑翻倒在地,3906248,star星视频,1685024055,367273,10.64,88.67,44051.6,0.0172,3549,0.0188,1.0,0.1053,0.0,0.0104,,1,2021-07-15 14:56:52,0.2778
59,1456523908,【WCT世界追逐大赛】 KIDS 2023 青少儿冠军赛（深圳） 第二弹,5041788,WCT世界追逐大赛,1187371734,213283,23.64,302.97,16641.0,0.0035,28,0.0643,1.0,0.0214,0.0,0.0406,,1,2024-08-30 17:27:57,0.2776
60,114447725103324,五一假装在宿舍潜水,5103881,小叮当的伙伴们,241679003,1542254,3.31,476.44,10712.5,0.0941,3641,0.1011,0.5089,0.5762,0.0,0.0423,,1,2025-05-04 18:00:00,0.277
61,238014670,50块钱在深圳包一个新疆切糕摊，当成自助随便吃，大哥能回本吗？,4314527,熊二爱美食,454439459,50666,85.16,191.94,22478.1,0.0098,2002,0.0407,1.0,0.06,0.0,0.0213,,1,2023-12-31 12:27:01,0.2763
62,811517060,小伙自带开塞露挑战吃50碗面！却惨遭服务小哥“陷害”？,3977226,踢馆小馋,631172681,515444,7.72,108.07,36801.0,0.0144,305,0.0229,1.0,0.0882,0.0,0.0123,,1,2022-05-13 17:30:00,0.2757
63,714955252,打卡传闻都是“合成肉”的自助餐，我真的一口都吃不下！,4613139,踢馆小馋,631172681,515444,8.95,99.37,46425.1,0.0133,1276,0.0211,1.0,0.0814,0.0,0.0292,,1,2021-04-07 17:24:07,0.2755
64,932926479,土木工程：永远的杀猪刀,4292950,想飞x,281828490,704,6097.94,100.58,42681.6,0.0136,2783,0.0213,1.0,0.0833,0.0,0.0207,,1,2021-09-10 16:52:02,0.2751
65,465499933,一个土木女生的7年,4007166,菲力溏心蛋,265526292,17652,227.01,100.6,39830.9,0.0128,1815,0.0213,1.0,0.0784,0.0,0.0131,,1,2022-01-07 11:37:34,0.2734
66,549207571,花600租的豪华单间,3515396,租房小许,1117607284,8048,436.8,85.64,41046.7,0.0142,3371,0.0182,1.0,0.087,0.0,0.0,,1,2021-11-17 19:45:50,0.2728
67,679735061,深圳首家罗森开业！凌晨五点就开始排队抢，太夸张了！,4221097,踢馆小馋,631172681,515444,8.19,110.1,38337.1,0.0105,1263,0.0234,1.0,0.0643,0.0,0.0188,,1,2022-03-10 17:22:12,0.2717
68,933662504,揭秘东北小县城现状，大量门市出兑，底层工作缺人，满街老头，你会回家么？,3829202,张哥人在江湖,205517805,222158,17.24,91.77,41725.4,0.0117,3129,0.0195,1.0,0.0716,0.0,0.0084,,1,2021-10-20 13:05:44,0.271
69,114422072804931,100元挑战在深圳生存3天，并且赚到更多！,11048785,在下哲别,416128940,3002246,3.68,1028.46,10743.0,0.0355,4968,0.2182,0.566,0.2174,0.0,0.2006,,1,2025-05-03 11:30:00,0.2705
70,724786466,90后年收入10亿董事长平常都爱吃啥？我万万没想到啊！,4146024,踢馆小馋,631172681,515444,8.04,108.48,38217.6,0.0091,407,0.023,1.0,0.0557,0.0,0.0168,,1,2022-03-15 16:56:58,0.2697
71,261066582,大学生如何在宿舍拍《最残大脑》第2季,7037936,小叮当的伙伴们,241679003,1542254,4.56,210.46,33440.8,0.0559,2264,0.0447,0.7018,0.3423,0.0,0.0938,,1,2022-09-30 17:45:13,0.2667
72,114280523366618,人类历史上第一次宿舍太空飞行,4481747,小叮当的伙伴们,241679003,1542254,2.91,392.62,11415.0,0.0988,3851,0.0833,0.4469,0.605,0.0,0.0257,,1,2025-04-05 11:30:00,0.2603
73,116652670780451,深圳福田口岸查获47只活体蚂蚁，多款属于外来物种。私带活体生物入境，隐患重重！,3743556,人民日报,1131457022,18628951,0.2,2728.5,1372.0,0.0404,4424,0.5789,0.0309,0.2474,0.1667,0.0061,,1,2026-05-28 22:29:41,0.2565
74,114822393894885,被骂上热搜“深圳某演唱会最丑陋的一幕”：永远不要低估人性的恶,5414662,小椰子专栏,30947486,1216647,4.45,593.08,9129.7,0.0337,4587,0.1258,0.6844,0.2064,0.0,0.0506,,1,2025-07-09 16:51:04,0.2552
75,116027115509374,干员们，看过灯光秀吗？,3616268,三角洲行动,3494376565115651,4406805,0.82,898.8,4023.4,0.132,4516,0.1907,0.1262,0.8083,0.0,0.0027,,1,2026-02-07 11:04:24,0.2507
76,114680458644246,花10元去趟宿舍南极是什么体验,3709980,小叮当的伙伴们,241679003,1542254,2.41,381.33,9729.0,0.1052,2411,0.0809,0.3699,0.6442,0.0,0.0052,,1,2025-06-14 17:30:00,0.2461
77,1256441231,不让我去巴黎，我就在宿舍办奥运！,5268258,小叮当的伙伴们,241679003,1542254,3.42,307.31,17143.1,0.0722,3357,0.0652,0.5253,0.4421,0.0,0.0467,,1,2024-08-09 19:24:08,0.244
78,114311896761444,大学生正式进入大航天时代,3739895,小叮当的伙伴们,241679003,1542254,2.42,331.24,11290.5,0.1002,3571,0.0703,0.3729,0.6136,0.0,0.006,,1,2025-04-10 16:00:00,0.2376
79,546750652,开颅手术做一半，医生叫醒病人起来聊天,4186484,深圳卫健委,698057488,897772,4.66,95.46,43854.0,0.0408,1744,0.0203,0.7171,0.2498,0.0,0.0179,,1,2021-07-23 20:28:36,0.2371
80,116061206746831,假如在漫展coser背后，用唢呐吹他们的角色主题曲【三角洲篇】,6500897,浑元Rysn,42561463,4500720,1.44,1676.15,3878.5,0.0527,2066,0.3556,0.2221,0.3227,0.0,0.0795,,1,2026-02-13 12:02:37,0.2347
81,760122122,深圳街头!!!路人全场合唱《Butterfly》!!!简直太感动了!!!,3958081,樱萍Apple,1723817,1057200,3.74,85.7,46185.4,0.0602,4014,0.0182,0.5758,0.3686,0.0,0.0118,,1,2021-04-17 17:05:19,0.2243
82,742087187,日本女友第一次来深圳，整个人被大城市惊呆了！,4057864,小粥的娜酱,41819890,1341678,3.02,148.0,27417.3,0.0759,1419,0.0314,0.4651,0.4648,0.0,0.0144,,1,2023-06-08 17:13:23,0.2201
83,115960677664985,宿舍爆改密室第二期《寝室飓封》,3560582,小叮当的伙伴们,241679003,1542254,2.31,827.08,4305.0,0.0556,809,0.1755,0.355,0.3405,0.0,0.0012,,1,2026-01-26 17:30:57,0.2096
84,726581731,如何用探店的形式探索“男生宿舍”,3684614,小叮当的伙伴们,241679003,1542254,2.39,100.23,36762.0,0.089,1718,0.0213,0.3674,0.545,0.0,0.0045,,1,2022-05-15 08:30:00,0.2077
85,115882378463674,把宿舍爆改成密室,3727381,小叮当的伙伴们,241679003,1542254,2.42,805.83,4625.5,0.049,1008,0.171,0.3717,0.3001,0.0,0.0056,,1,2026-01-13 09:00:00,0.2048
86,114388065325215,左边香港右边深圳，一街分两制！中英街中国最神奇的街道,4459888,十三要和拳头,389400079,1025629,4.35,408.1,10928.5,0.0048,572,0.0866,0.6687,0.0294,0.0,0.0252,,1,2025-04-25 18:00:00,0.2016
87,348552084,大学生如何在宿舍拍出《奔跑吧兄弟》最终季,3563857,小叮当的伙伴们,241679003,1542254,2.31,112.21,31759.8,0.0839,2907,0.0238,0.3554,0.5138,0.0,0.0013,,1,2022-12-09 18:40:18,0.1989
88,550709403,深圳地铁一女子飙英语跟老外吵架，为何这次网友都站老外？,6188736,侃哥侃英语,1607984338,1894257,3.27,156.25,39608.4,0.0415,4959,0.0331,0.5024,0.2541,0.0,0.0712,,1,2022-01-16 18:07:27,0.1935
89,532955610,350元一桶巨型泡面！新晋“网红泡面”值不值？？？,8761762,穿毛裤的小拉泽,478691043,4144482,2.11,345.26,25377.4,0.0498,1673,0.0733,0.3251,0.305,0.0,0.1397,,1,2023-09-01 17:05:00,0.1782
90,115456589432003,深圳望郎归3起徒步事件地图还原，80天三人登山徒步失联,5361862,神秘园,87670515,2544560,2.11,832.65,6439.5,0.0266,8529,0.1767,0.3241,0.1629,0.0,0.0492,,1,2025-10-29 19:00:00,0.1715
91,115077608906162,30岁蹲姐，没朋友没对象没工作家里蹲15年苟活于人世,4789356,峰哥亡命天涯,35847683,2897748,1.65,595.11,8047.9,0.0392,14832,0.1263,0.2542,0.24,0.0,0.0339,,1,2025-08-23 18:37:20,0.1528
92,249996360,出现了，寝室最讨厌的人,3595969,郑丽芬er,484262091,1094351,3.29,83.27,43182.9,0.0145,601,0.0177,0.5053,0.0888,0.0,0.0021,,1,2021-08-20 19:34:37,0.1496
93,862101526,第二篇章：月升 精彩全程【2022 B站跨年晚会精彩全程】,14658114,哔哩哔哩晚会,489412051,10488362,1.4,469.43,31165.7,0.0179,1422,0.0996,0.2149,0.1096,0.0,0.2967,,1,2023-01-03 12:50:01,0.1352
94,682554502,小伙网购包皮环切器在家割包皮结果悲剧了，医生：太紧张漏了步骤,3981983,大象新闻,522653994,1800197,2.21,104.7,38031.6,0.0249,12373,0.0222,0.3402,0.1525,0.0,0.0124,,1,2022-03-23 10:53:30,0.1234
95,841221153,真正的底层，深圳三和人力市场，挂逼面3元一碗,5515010,峰哥亡命天涯,35847683,2897748,1.9,103.72,53174.2,0.0307,4985,0.022,0.2927,0.188,0.0,0.0532,,1,2020-06-30 12:18:15,0.1227
96,206266697,在深圳最高档商场约会优质小哥哥竟然花了这么多钱？,3699652,峰哥亡命天涯,35847683,2897748,1.28,83.03,44559.2,0.0526,5246,0.0176,0.1963,0.3221,0.0,0.0049,,1,2021-06-24 11:20:05,0.1193
97,114375297862475,速通甲亢中国行之深圳长沙篇，知道是烂尾但是这也太烂了,4379236,-超级小能猫-,1379165407,3581156,1.22,397.22,11024.6,0.0325,1550,0.0843,0.1881,0.199,0.0,0.023,,1,2025-04-21 17:52:52,0.1144
98,583870222,深圳上市公司老总富二代名媛宵夜吃什么？峰哥吃哭了,3739652,峰哥亡命天涯,35847683,2897748,1.29,70.68,52912.9,0.0445,2977,0.015,0.1985,0.2725,0.0,0.006,,1,2020-07-11 09:33:54,0.1092
99,623364069,我社恐了！！！,3655693,中国BOY超级大猩猩,562197,10739468,0.34,163.37,22376.5,0.0687,1483,0.0347,0.0523,0.4207,0.0,0.0037,,1,2024-01-04 18:02:37,0.108
100,477085114,橘子海《夏日漱石》爱死这前奏！双耳满足【2022 B站跨年晚会单品】,7252844,哔哩哔哩晚会,489412051,10488362,0.69,232.25,31228.3,0.018,1365,0.0493,0.1063,0.1102,0.0,0.0995,,1,2022-12-31 22:10:08,0.0734
